host,ip,device,used_pct,mount
DESPACHOS03,10.181.3.106,10.181.7.1:/data/col1/linux,92,/datadomain
DBORACLEIDMAN02,10.181.3.79,/dev/mapper/rootVG-oradata_01,74,/oradata02
DBDLX2009,10.181.5.60,UNI400F:/dxl_historicos,86,/bck_dlxhist
DEV_TOBIN,10.181.11.106,/dev/mapper/centos-usr,83,/usr
DBREDCONTBOGDIS,10.181.5.70,/dev/sda2,80,/boot
gspsmsinergia,10.181.3.156,/dev/mapper/SOVG-u2,88,/u2
JASPERSOFT_1,10.181.3.61,/dev/sda2,79,/
DEV_TOBIN,10.181.11.106,/dev/mapper/centos-var,91,/var
MARCSINERGIA,10.181.11.78,/dev/mapper/rootvg-oracle12,94,/oracle12
MERCADERISTAS,10.181.3.144,/dev/mapper/rootVG-movilventas,74,/movilventas
DEV_TOBIN,10.181.11.106,/dev/mapper/LVM_usbvG-usb,77,/usb
MICROCRMBOGDIS2,10.181.5.126,/dev/mapper/rootVG-microservicios,81,/microservicios
MICROCRMBOGDISTEST,10.181.11.150,/dev/mapper/rootVg-var,74,/var
MICROSERVICIOS02,10.181.11.145,/dev/sda1,75,/boot
MERCADERISTAS,10.181.3.144,/dev/sr0,100,/run/media/tux/OL-8-4-0-BaseOS-x86_64
MICROSERVICIOS04_1,10.181.3.183,/dev/sda1,77,/boot
MICROSERVICIOS05,10.181.3.28,/dev/mapper/cl-var_cache,84,/var/cache
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/965fe240127cc8e4ee2c66c74518bd7f0ac1956ff8cfff5a33a5c1e1b4a654fe/merged
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/89cedd00b21e66b99ffbc465b0fb89e32e27f63038acce1eed003b5d36eaa780/merged
MICROSERVICIOS05,10.181.3.28,/dev/mapper/cl-var_lib,100,/var/lib
MON_ZABBIX,10.181.5.210,/dev/mapper/rootVG-usr,70,/usr
MICROSERVTEST10,10.181.11.112,/dev/mapper/rootVG-var,85,/var
MOVILTRACK,10.181.3.109,/dev/mapper/centos-var_lib_mysql,84,/var/lib/mysql
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/102ad03a4549e8ae3ad4080e2720962a946fb23f338073f38882e96e3f8496ca/merged
MICROSERVICIOS05,10.181.3.28,overlay,100,/var/lib/docker/overlay2/25ab84c72b7cc03df877cf68ba14d3bb368ffea43e248c0a7a303c6d81797e66/merged
MON_ZABBIX,10.181.5.210,/dev/mapper/rootVG-var_lib_mysql,76,/var/lib/mysql
MICROSERVTEST10,10.181.11.112,overlay,85,/var/lib/docker/overlay2/c3ea0919f572c63984d3458d5098e89f4e971700c52ea1bc7ad878c7a90bc17b/merged
MOVILTRACK,10.181.3.109,/dev/mapper/centos-var_log,73,/var/log
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/bb1cde4b08b4f3a16896e1a62673ebee970a3e3d0cf63ead53e15d68af68276b/merged
MICROSERVICIOS05,10.181.3.28,overlay,100,/var/lib/docker/overlay2/5d81132f77535be91a350075d4facc076c15f71404d904fc4a5e9b1eed725632/merged
MOVILTRCK02,10.181.11.134,/dev/mapper/ol-usr,75,/usr
MOVILVENTAS,10.181.0.21,/dev/mapper/rootVG-var,73,/var
NETWORKER04,10.181.3.104,/dev/mapper/networkerVG-tmp,72,/tmp
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/0db9bcf7f37fd93b8442429cca14eed454d2f9b2bbfdbe7695862200b8306546/merged
MICROSERVICIOS05,10.181.3.28,overlay,100,/var/lib/docker/overlay2/9e8d037597ede2b63608d143037074064ed9f3092f01aa9d134215231f7d4090/merged
MOVILTRCK02,10.181.11.134,/dev/mapper/ol-var,100,/var
MOVILVENTAS,10.181.0.21,/dev/mapper/rootVG-movilventas,81,/movilventas
NETWORKER04,10.181.3.104,/dev/mapper/networkerVG-opt,72,/opt
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/ed01b990656a2a6c351d5f715e2413f7ca220135eaea915205a46bf241ac08db/merged
MICROSERVICIOS05,10.181.3.28,overlay,100,/var/lib/docker/overlay2/ff5f38ee29cfae0f2c3c4f00a23c18ab68654ea036044808e721439222888722/merged
MOVILTRCK02,10.181.11.134,/dev/sda2,79,/boot
MOVILVENTAS,10.181.0.21,/dev/sda2,82,/boot
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/6cab384bf738069e29aee93a81ecba89fb29461200bc755af55e9702ec4dce75/merged
NTPBOGDIS-PRD,10.181.0.155,/dev/sda2,82,/boot
MICROSERVICIOS05,10.181.3.28,overlay,100,/var/lib/docker/overlay2/ed5102e972f4c9f9484d446c89cff92af0e012c179c475f4bf48f4010ece4c29/merged
MOVILTRCK02,10.181.11.134,/dev/sr0,100,/run/media/tux/OL-9-4-0-BaseOS-x86_64
POSHISTORICOS,10.181.0.112,/dev/mapper/rootVG-usa,88,/usa
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/18775a75628364d841dda4cbdc7f797ba58d3cdf452566681f652ba9383af293/merged
POSHISTORICOS_1,10.181.11.240,/dev/mapper/rootVG-usa,87,/usa
MICROSERVICIOS05,10.181.3.28,overlay,100,/var/lib/docker/overlay2/b92d886a864938511ec3d1ad3173f5aaf256f02542d8f267d354eb29565e89cb/merged
MOVILTRCK02,10.181.11.134,overlay,100,/var/lib/docker/overlay2/77f0017c62e97133fbce6e9e6a5de55c757ee5c2aeba919f70f5843d015c8eca/merged
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/1e7df6d0358d0fea1059932e0b9c7a21afb0c6a221c3be01023f97b06e3cf989/merged
POSHISTORICOS,10.181.0.112,192.168.251.15:/pos_historicosnew_uni400F,77,/pos_historicos
POSHISTORICOS_2,10.181.0.111,10.181.7.1:/data/col1/linux,92,/datadomain
PRE_TOBIN,10.181.11.107,/dev/mapper/centos-var_lib_mysql,74,/var/lib/mysql
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/92da09e15de02b4f3043f708a721aebb0deb50f11eb6226fc78d176c5e88bea4/merged
POSHISTORICOS,10.181.0.112,192.168.251.15:/vcdial_recordings_uni400f,84,/recordings
POSHISTORICOS_2,10.181.0.111,192.168.251.15:/pos_historicosnew_uni400F,77,/pos_historicos
PSEBOGDIS01,10.181.4.106,/dev/mapper/cl-root,75,/
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/5c2a4bb0a8aff305ace97433549bcfbded89f29fba31d02f2af6ccf52e5afbf0/merged
MOVILTRCK02,10.181.11.134,overlay,100,/var/lib/docker/overlay2/1e92df3c729100b6b45b125f1e24f982ad5065f259a76b5b20d3a802d3e2caf7/merged
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/1f7814710bba0dc76dbfc739cdee299fbad20af5ee54cf8147d7545a77c9a46b/merged
MOVILTRCK02,10.181.11.134,overlay,100,/var/lib/docker/overlay2/309830215e7191fb95f6574867739f8ad6b0e0da7a748fb465545feb978b1777/merged
SICCONTROLAUTO,10.181.4.17,/dev/mapper/centos-var,88,/var
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/97a416c14b82b6fd53c4d7d22f4eda9cde70ea31863e416ee717d92ad95a80db/merged
SOA02LNX_140524,10.199.3.12,/dev/mapper/rootVG-usr,72,/usr
SOA_HISTORICOS,10.181.5.185,/dev/sda2,82,/boot
SOCSCITSS,10.181.4.114,/dev/mapper/centos-opt,100,/opt
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/a91342e9b1ac1c7744d6c31be48c32dc34399d407cb849c2801c5705396c5e79/merged
SICCONTROLAUTO,10.181.4.17,overlay,88,/var/lib/docker/overlay2/2e59f2415b8e345364985537625b5af096d0ae6ec72d3e2174705bccbdf4e33a/merged
SOA02LNX_140524,10.199.3.12,/dev/mapper/rootVG-opt,100,/opt
SOA_HISTORICOS,10.181.5.185,UNI400F:/dxl_historicos,86,/bck_dlxhist
STORAGENODE01,10.181.3.164,/dev/mapper/cl-usr,84,/usr
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/4f94bdc09b49505ea9faef3585914e86e340abd07014b62347f829e4d5c8fa52/merged
STORAGENODE02,10.181.3.163,/dev/mapper/cl-usr,84,/usr
TEST_IMC_NETWORKING01,10.181.11.77,/dev/mapper/rootVG-usr,71,/usr
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/6b43fd9a23458a22f79884b754edf0ca3366ed426c653e6b4c67047119c241fa/merged
TESTDOCKBOGDIS,10.181.11.76,/dev/mapper/rootVG-home,71,/home
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/boot/grub2/i386-pc
TESTORACLEIDMAN,10.181.11.91,/dev/mapper/rootvg-home,80,/home
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/1153bd284de0db9ce3a4d622c1faa2b34f27c36d222ce0f950c7548a2583fb65/merged
Tests4sinergiaval,10.181.11.200,/dev/mapper/vgsap-lv_audito,82,/auditoria
TESTDOCKBOGDIS,10.181.11.76,/dev/mapper/rootVG-var,84,/var
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/srv
TESTORACLEIDMAN,10.181.11.91,/dev/mapper/rootvg-u01,80,/u01
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/1a91f86fb8fff1292a0e52611b0dd430fa9d7c97a5deaa3b5676eb0788e6d44d/merged
TESTWMSAPPBOGDIS01_N4,10.181.11.84,/dev/mapper/rootvg-app,70,/app
TESTDOCKBOGDIS,10.181.11.76,overlay,84,/var/lib/docker/overlay2/28e5f6bbc835ff43d4447bcb3cc16e42851595a7cc2b0e30f74461d6158e78ce/merged
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/boot/grub2/x86_64-efi
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/3e1cb4e93665b86e1614058dcc78bed40a37884e6527b6cb62eead60d9097164/merged
WMS_TEST_APP,10.181.11.117,/dev/sda1,77,/boot
WMS_TEST_DB02,10.181.11.116,/dev/sda1,78,/boot
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/var/log
WMS_TEST03_APP,10.181.11.119,/dev/sda1,77,/boot
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/b2df60d416ec104bf0cae45b2a181275fcf520d1fec8a9f01737514ec43c0c78/merged
WMS_TEST_APP,10.181.11.117,/dev/mapper/rootVG-var_cache,74,/var/cache
WMS_TEST_DB02,10.181.11.116,/dev/mapper/rhel-u06,72,/u06
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/usr/local
WMSAPPBOGDIS_NODO2,10.199.3.41,/dev/mapper/rhel-app,100,/app
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/c999a653437051dba78b6163190c1a8e66842a888c46972088c6a331bbbf9034/merged
